"elementor-widget-container href","attachment-large src","elementor-heading-title","elementor-heading-title 2"
"https://rotaractd9213.org/acacia-sunset-kampala-8825240/","https://rotaractd9213.org/wp-content/uploads/2024/07/Acacia-Sunset-Kampala-1024x557.png","Acacia Sunset Kampala","Club ID 8825240"
"https://rotaractd9213.org/arua-79179/","https://rotaractd9213.org/wp-content/uploads/2024/07/Arua-1024x557.png","Arua","Club ID 79179"
"https://rotaractd9213.org/arua-school-of-nursing-8825743/","https://rotaractd9213.org/wp-content/uploads/2024/07/Arua-School-of-Nursing-1024x557.png","Arua School of Nursing","Club ID 8825743"
"https://rotaractd9213.org/buganda-royal-institute-77118/","https://rotaractd9213.org/wp-content/uploads/2024/07/Buganda-Royal-Institute-1024x557.png","Buganda Royal Institute","Club ID 77118"
"https://rotaractd9213.org/bugiri-8823445/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bugiri-1024x557.png","Bugiri","Club ID 8823445"
"https://rotaractd9213.org/bugolobi-63680/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bugolobi-1024x557.png","Bugolobi","Club ID 63680"
"https://rotaractd9213.org/bukoto-90525/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bukoto-1024x557.png","Bukoto","Club ID 90525"
"https://rotaractd9213.org/bulindo-8825411/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bulindo-1024x557.png","Bulindo","Club ID 8825411"
"https://rotaractd9213.org/buloba-217791/","https://rotaractd9213.org/wp-content/uploads/2024/07/Buloba-1024x557.png","Buloba","Club ID 217791"
"https://rotaractd9213.org/busia-border-8825397/","https://rotaractd9213.org/wp-content/uploads/2024/07/Busia-Border-1024x557.png","Busia Border","Club ID 8825397"
"https://rotaractd9213.org/busitema-university-82110/","https://rotaractd9213.org/wp-content/uploads/2024/07/Busitema-University-1024x557.png","Busitema University","Club ID 82110"
"https://rotaractd9213.org/busitema-university-mbale-campus-213049/","https://rotaractd9213.org/wp-content/uploads/2024/07/Busitema-University-Mbale-Campus-1024x557.png","Busitema University, Mbale Campus","Club ID 213049"
"https://rotaractd9213.org/busitema-university-sam-owori-8824930/","https://rotaractd9213.org/wp-content/uploads/2024/07/Busitema-University-Sam-Owori-1024x557.png","Busitema University, Sam Owori","Club ID 8824930"
"https://rotaractd9213.org/butabika-49561/","https://rotaractd9213.org/wp-content/uploads/2024/07/Butabika-1024x557.png","Butabika","Club ID 49561"
"https://rotaractd9213.org/butabika-royals-8825292/","https://rotaractd9213.org/wp-content/uploads/2024/07/Butabika-Royals-1024x557.png","Butabika Royals","Club ID 8825292"
"https://rotaractd9213.org/bweyogerere-namboole-89594/","https://rotaractd9213.org/wp-content/uploads/2024/07/Bweyogerere-Namboole-1024x557.png","Bweyogerere Namboole","Club ID 89594"
"https://rotaractd9213.org/cape-munyonyo-213797/","https://rotaractd9213.org/wp-content/uploads/2024/07/Cape-Munyonyo-1024x557.png","Cape Munyonyo","Club ID 89594"
"https://rotaractd9213.org/cavendish-university-uganda-8823385/","https://rotaractd9213.org/wp-content/uploads/2024/07/Cavendish-University-Uganda-1024x557.png","Cavendish University Uganda","Club ID 8823385"
"https://rotaractd9213.org/clarke-international-university-89531/","https://rotaractd9213.org/wp-content/uploads/2024/07/Clarke-International-University-1024x557.png","Clarke International University","Club ID 89531"
"https://rotaractd9213.org/e-club-of-kampala-7-hills-8824296/","https://rotaractd9213.org/wp-content/uploads/2024/07/E-Club-of-Kampala-7-Hills-1024x557.png","E-Club of Kampala 7 Hills","Club ID 8824296"
"https://rotaractd9213.org/e-club-of-uganda-global-8823301/","https://rotaractd9213.org/wp-content/uploads/2024/11/E-Club-of-Uganda-Global-1024x557.png","E-Club of Uganda Global","Club ID 8823301"
"https://rotaractd9213.org/gayaza-8826239/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gayaza-1024x557.png","Gayaza","Club ID 8826239"
"https://rotaractd9213.org/gayaza-football-8826237/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gayaza-Football-1024x557.png","Gayaza Football","Club ID 8826237"
"https://rotaractd9213.org/gayaza-technical-8825538/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gayaza-Technical-1024x557.png","Gayaza Technical","Club ID 8825538"
"https://rotaractd9213.org/gulu-216685/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gulu-1024x557.png","Gulu","Club ID 216685"
"https://rotaractd9213.org/gulu-university-76138/","https://rotaractd9213.org/wp-content/uploads/2024/07/Gulu-University-1024x557.png","Gulu University","Club ID 76138"
"https://rotaractd9213.org/hoima-kitara-212452/","https://rotaractd9213.org/wp-content/uploads/2024/07/Hoima-Kitara-1024x557.png","Hoima Kitara","Club ID 212452"
"https://rotaractd9213.org/hoima-nursing-school-213635/","https://rotaractd9213.org/wp-content/uploads/2024/07/Hoima-Nursing-School-1024x557.png","Hoima Nursing School","Club ID 213635"
"https://rotaractd9213.org/hope-kansanga-8823435/","https://rotaractd9213.org/wp-content/uploads/2024/07/Hope-Kansanga-1024x557.png","Hope Kansanga","Club ID 8823435"
"https://rotaractd9213.org/iganga-213809/","https://rotaractd9213.org/wp-content/uploads/2024/07/Iganga-1024x557.png","Iganga","Club ID 213809"
"https://rotaractd9213.org/isbat-university-8826432/","https://rotaractd9213.org/wp-content/uploads/2024/07/ISBAT-University-1024x557.png","ISBAT University","Club ID 8826432"
"https://rotaractd9213.org/iuiu-islamic-university-in-uganda-218053/","https://rotaractd9213.org/wp-content/uploads/2024/07/IUIU-Islamic-University-in-Uganda-1024x557.png","IUIU-Islamic University in Uganda","Club ID 218053"
"https://rotaractd9213.org/jinja-16305/","https://rotaractd9213.org/wp-content/uploads/2024/07/Jinja-1024x557.png","Jinja","Club ID 16305"
"https://rotaractd9213.org/jvti-216446/","https://rotaractd9213.org/wp-content/uploads/2025/03/Rotaract-Logo_EN21-1-1024x557.png","Jinja Vocational Training Institute","Club ID 216446"
"https://rotaractd9213.org/kabarole-55359/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kabarole-1024x557.png","Kabarole","Club ID 55359"
"https://rotaractd9213.org/kagadi-8825770/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kagadi-1024x557.png","Kagadi","Club ID 8825770"
"https://rotaractd9213.org/kaihura-8823480/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kaihura-1024x557.png","Kaihura","Club ID 8823480"
"https://rotaractd9213.org/kampala-the-core-66642/","https://rotaractd9213.org/wp-content/uploads/2024/07/kampala-the-core-1024x557.png","Kampala The CORE","Club ID 66642"
"https://rotaractd9213.org/kampala-city-16303/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-City-1024x557.png","Kampala City","Club ID 16303"
"https://rotaractd9213.org/kampala-east-92080/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-East-1024x557.png","Kampala East","Club ID 92080"
"https://rotaractd9213.org/kampala-naalya-216010/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-Naalya-1024x557.png","Kampala Naalya","Club ID 216010"
"https://rotaractd9213.org/kampala-north-musical-214715/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-North-Musical-1024x557.png","Kampala North Musical","Club ID 214715"
"https://rotaractd9213.org/kampala-palms-8825061/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-Palms-1024x557.png","Kampala Palms","Club ID 8825061"
"https://rotaractd9213.org/kampala-school-of-health-sciences-buloba-campus-8825415/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-School-of-Health-Sciences-Buloba-Campus-1024x557.png","Kampala School of Health Sciences, Buloba Campus","Club ID 8825061"
"https://rotaractd9213.org/kampala-south-90795/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-South-1024x557.png","Kampala South","Club ID 90795"
"https://rotaractd9213.org/kampala-ssese-islands-77519/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-Ssese-Islands-1024x557.png","Kampala Ssese Islands","Club ID 77519"
"https://rotaractd9213.org/kampala-west-89162","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-West-1024x557.png","Kampala West","Club ID 89162"
"https://rotaractd9213.org/kampala-central-42991/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-Central-1024x557.png","Kampala Central","Club ID 42991"
"https://rotaractd9213.org/kampala-kibuli-212186/","https://rotaractd9213.org/wp-content/uploads/2024/07/Kampala-Kibuli-1024x557.png","Kampala Kibuli","Club ID 212186"
"https://rotaractd9213.org/kampala-maisha-216204/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kampala-Maisha-1024x557.png","Kampala Maisha","Club ID 216204"
"https://rotaractd9213.org/kampala-north-92123/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kampala-North-1024x557.png","Kampala North","Club ID 212186"
"https://rotaractd9213.org/kapchorwa-8825837/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kapchorwa-1024x557.png","Kapchorwa","Club ID 8825837"
"https://rotaractd9213.org/kasangati-87588/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kasangati-1024x557.png","Kasangati","Club ID 87588"
"https://rotaractd9213.org/kawempe-215577/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kawempe-1024x557.png","Kawempe","Club ID 215577"
"https://rotaractd9213.org/kentim-university-8824933/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kentim-University-1024x557.png","Kentim University","Club ID 8824933"
"https://rotaractd9213.org/kiboga-218381/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kiboga-1024x557.png","Kiboga","Club ID 218381"
"https://rotaractd9213.org/kiboga-school-of-nursing-and-midwifery-8826016/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kiboga-School-of-Nursing-and-Midwifery-1024x557.png","Kiboga School of Nursing and Midwifery","Club ID 8826016"
"https://rotaractd9213.org/kikonda-8826160/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kikonda-1024x557.png","Kikonda","Club ID 8826160"
"https://rotaractd9213.org/kira-8826058/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kira-1024x557.png","Kira","Club ID 8826058"
"https://rotaractd9213.org/kireka-movers-8825391/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kireka-Movers-1024x557.png","Kireka Movers","Club ID 8825391"
"https://rotaractd9213.org/kitante-8825422/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kitante-1024x557.png","Kitante","Club ID 8825422"
"https://rotaractd9213.org/kitgum-218319/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kitgum-1024x557.png","Kitgum","Club ID 218319"
"https://rotaractd9213.org/kololo-16297/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kololo-1024x557.png","Kololo","Club ID 16297"
"https://rotaractd9213.org/kyadondo-8825913/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kyadondo-1024x557.png","Kyadondo","Club ID 8825913"
"https://rotaractd9213.org/kyaka-ii-8825279/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kyaka-II-1024x557.png","Kyaka II","Club ID 8825279"
"https://rotaractd9213.org/kyambogo-16255/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kyambogo-1024x557.png","Kyambogo","Club ID 16255"
"https://rotaractd9213.org/kyambogo-university-215398/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kyambogo-University-1024x557.png","Kyambogo University","Club ID 215398"
"https://rotaractd9213.org/kyanja-8824935/","https://rotaractd9213.org/wp-content/uploads/2024/08/Kyanja-1024x557.png","Kyanja","Club ID 8824935"
"https://rotaractd9213.org/lake-victoria-89804/","https://rotaractd9213.org/wp-content/uploads/2024/08/Lake-Victoria-1024x557.png","Lake Victoria","Club ID 89804"
"https://rotaractd9213.org/lira-83076/","https://rotaractd9213.org/wp-content/uploads/2024/08/Lira-1024x557.png","Lira","Club ID 83076"
"https://rotaractd9213.org/lira-school-of-comprehensive-nursing-222317/","https://rotaractd9213.org/wp-content/uploads/2024/08/Lira-School-of-Comprehensive-Nursing-1024x557.png","Lira School of Comprehensive Nursing","Club ID 222317"
"https://rotaractd9213.org/lugazi-8826535/","https://rotaractd9213.org/wp-content/uploads/2024/08/Lugazi-1024x557.png","Lugazi","Club ID 8826535"
"https://rotaractd9213.org/luzira-8826338/","https://rotaractd9213.org/wp-content/uploads/2024/08/Luzira-1024x557.png","Luzira","Club ID 8826338"
"https://rotaractd9213.org/makerere-university-16295/","https://rotaractd9213.org/wp-content/uploads/2024/08/Makerere-University-1024x557.png","Makerere University","Club ID 16295"
"https://rotaractd9213.org/makindye-42728/","https://rotaractd9213.org/wp-content/uploads/2024/08/Makindye-1024x557.png","Makindye","Club ID 42728"
"https://rotaractd9213.org/manyangwa-football-8826283/","https://rotaractd9213.org/wp-content/uploads/2024/08/Manyangwa-Football-1024x557.png","Manyangwa Football","Club ID 8826283"
"https://rotaractd9213.org/mbale-43010/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mbale-1024x557.png","Mbale","Club ID 43010"
"https://rotaractd9213.org/mbale-school-of-hygiene-216715/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mbale-School-of-Hygiene-1024x557.png","Mbale School of Hygiene","Club ID 216715"
"https://rotaractd9213.org/mbale-uptown-216773/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mbale-Uptown-1024x557.png","Mbale Uptown","Club ID 216773"
"https://rotaractd9213.org/mbuya-8826802/","https://rotaractd9213.org/wp-content/uploads/2025/03/Rotaract-Logo_EN21-2-1024x557.png","Mbuya","Club ID 8826802"
"https://rotaractd9213.org/mityana-216642/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mityana-1024x557.png","Mityana","Club ID 216642"
"https://rotaractd9213.org/mubende-metro-8826086/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mubende-Metro-1024x557.png","Mubende Metro","Club ID 8826086"
"https://rotaractd9213.org/mukono-44371/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mukono-1024x557.png","Mukono","Club ID 44371"
"https://rotaractd9213.org/mukuno-central-8826051/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mukuno-Central-1024x557.png","Mukuno Central","Club ID 8826051"
"https://rotaractd9213.org/mulago-16283/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mulago-1024x557.png","Mulago","Club ID 16283"
"https://rotaractd9213.org/mulago-school-of-nursing-and-midwifery-214466/","https://rotaractd9213.org/wp-content/uploads/2024/08/Mulago-School-of-Nursing-and-Midwifery-1024x557.png","Mulago School of Nursing and Midwifery","Club ID 214466"
"https://rotaractd9213.org/naggalama-8826131/","https://rotaractd9213.org/wp-content/uploads/2024/08/Naggalama-1024x557.png","Naggalama","Club ID 8826131"
"https://rotaractd9213.org/naguru-213481/","https://rotaractd9213.org/wp-content/uploads/2024/08/Naguru-1024x557.png","Naguru","Club ID 213481"
"https://rotaractd9213.org/najjeera-216528/","https://rotaractd9213.org/wp-content/uploads/2024/08/Najjeera-1024x557.png","Najjeera","Club ID 216528"
"https://rotaractd9213.org/nakasero-8826553/","https://rotaractd9213.org/wp-content/uploads/2024/08/Nakasero-1024x557.png","Nakasero","Club ID 8826553"
"https://rotaractd9213.org/nakawa-16277/","https://rotaractd9213.org/wp-content/uploads/2024/08/Nakawa-1024x557.png","Nakawa","Club ID 16277"
"https://rotaractd9213.org/nakawa-vocational-institute-213794/","https://rotaractd9213.org/wp-content/uploads/2024/08/Nakawa-Vocational-Institute-1024x557.png","Nakawa Vocational Institute","Club ID 213794"
"https://rotaractd9213.org/nakivale-214948/","https://rotaractd9213.org/wp-content/uploads/2024/08/Nakivale-1024x557.png","Nakivale","Club ID 214948"
"https://rotaractd9213.org/nakivale-juru-216780/","https://rotaractd9213.org/wp-content/uploads/2024/08/Nakivale-Juru-1024x557.png","Nakivale-Juru","Club ID 216780"
"https://rotaractd9213.org/namugongo-8826122/","https://rotaractd9213.org/wp-content/uploads/2024/08/Namugongo-1024x557.png","Namugongo","Club ID 8826122"
"https://rotaractd9213.org/nangabo-212876/","https://rotaractd9213.org/wp-content/uploads/2024/08/Nangabo-1024x557.png","Nangabo","Club ID 212876"
"https://rotaractd9213.org/nansana-91240/","https://rotaractd9213.org/wp-content/uploads/2024/08/Nansana-1024x557.png","Nansana","Club ID 91240"
"https://rotaractd9213.org/ndejje-city-218174/","https://rotaractd9213.org/wp-content/uploads/2024/08/Ndejje-City-1024x557.png","Ndejje City","Club ID 218174"
"https://rotaractd9213.org/ndejje-university-213161/","https://rotaractd9213.org/wp-content/uploads/2024/08/Ndejje-University-1024x557.png","Ndejje University","Club ID 213161"
"https://rotaractd9213.org/njeru-217596/","https://rotaractd9213.org/wp-content/uploads/2024/08/Njeru-1024x557.png","Njeru","Club ID 217596"
"https://rotaractd9213.org/clubs/nsasa-8826840/","https://rotaractd9213.org/wp-content/uploads/2025/03/Nsasa-1024x557.png","Nsasa","Club ID 8826840"
"https://rotaractd9213.org/ntinda-45294/","https://rotaractd9213.org/wp-content/uploads/2024/08/Ntinda-1024x557.png","Ntinda","Club ID 45294"
"https://rotaractd9213.org/school-of-clinical-officers-mbale-66628/","https://rotaractd9213.org/wp-content/uploads/2024/08/School-of-Clinical-Officers-Mbale-1024x557.png","School of Clinical Officers, Mbale","Club ID 66628"
"https://rotaractd9213.org/seeta-90362/","https://rotaractd9213.org/wp-content/uploads/2024/08/Seeta-1024x557.png","Seeta","Club ID 90362"
"https://rotaractd9213.org/selihep-mukono-8826083/","https://rotaractd9213.org/wp-content/uploads/2024/08/Selihep-Mukono-1024x557.png","Selihep-Mukono","Club ID 8826083"
"https://rotaractd9213.org/sonde-8824494/","https://rotaractd9213.org/wp-content/uploads/2024/08/Sonde-1024x557.png","Sonde","Club ID 8824494"
"https://rotaractd9213.org/soroti-218017/","https://rotaractd9213.org/wp-content/uploads/2024/08/Soroti-1024x557.png","Soroti","Club ID 218017"
"https://rotaractd9213.org/soroti-school-of-comprehensive-nursing-213911/","https://rotaractd9213.org/wp-content/uploads/2024/08/Soroti-School-of-Comprehensive-Nursing-1024x557.png","Soroti School of Comprehensive Nursing","Club ID 213911"
"https://rotaractd9213.org/soroti-university-8825320/","https://rotaractd9213.org/wp-content/uploads/2024/08/Soroti-University-1024x557.png","Soroti University","Club ID 8825320"
"https://rotaractd9213.org/source-of-the-nile-16257/","https://rotaractd9213.org/wp-content/uploads/2024/08/Source-Of-The-Nile-1024x557.png","Source Of The Nile","Club ID 16257"
"https://rotaractd9213.org/st-francis-schools-of-health-sciences-namataba-8826049/","https://rotaractd9213.org/wp-content/uploads/2024/08/St.-Francis-Schools-of-Health-Sciences-Namataba-1024x557.png","St. Francis Schools of Health Sciences Namataba","Club ID 8826049"
"https://rotaractd9213.org/tororo-8826438/","https://rotaractd9213.org/wp-content/uploads/2024/08/Tororo-1024x557.png","Tororo","Club ID 8826438"
"https://rotaractd9213.org/u-c-u-mbale-city-8825535/","https://rotaractd9213.org/wp-content/uploads/2024/08/U.C.U-Mbale-City-1024x557.png","U.C.U Mbale City","Club ID 8825535"
"https://rotaractd9213.org/uganda-christian-university-56586/","https://rotaractd9213.org/wp-content/uploads/2024/08/Uganda-Christian-University-1024x557.png","Uganda Christian University","Club ID 56586"
"https://rotaractd9213.org/uganda-christian-university-mbale-campus-213048/","https://rotaractd9213.org/wp-content/uploads/2024/08/Uganda-Christian-University-Mbale-Campus-1024x557.png","Uganda Christian University, Mbale Campus","Club ID 213048"
"https://rotaractd9213.org/uganda-institute-of-allied-health-and-management-sciencies-mulago-218046/","https://rotaractd9213.org/wp-content/uploads/2024/08/Uganda-Institute-of-Allied-Health-and-Management-Sciencies-Mulago-1024x557.png","Uganda Institute of Allied Health and Management Sciencies-Mulago","Club ID 218046"
"https://rotaractd9213.org/uganda-institute-of-information-and-communications-technology-89075/","https://rotaractd9213.org/wp-content/uploads/2024/08/Uganda-Institute-of-Information-and-Communications-Technology-1024x557.png","Uganda Institute of Information and Communications Technology","Club ID 89075"
"https://rotaractd9213.org/uganda-martyrs-university-nkozi-80950/","https://rotaractd9213.org/wp-content/uploads/2024/08/Uganda-Martyrs-University-Nkozi-1024x557.png","Uganda Martyrs University, Nkozi","Club ID 80950"
"https://rotaractd9213.org/uganda-pentecostal-university-8825692/","https://rotaractd9213.org/wp-content/uploads/2024/08/Uganda-Pentecostal-University-1024x557.png","Uganda Pentecostal University","Club ID 8825692"
"https://rotaractd9213.org/upper-kibuli-8826132/","https://rotaractd9213.org/wp-content/uploads/2024/08/Upper-Kibuli-1024x557.png","Upper Kibuli","Club ID 8826132"
"https://rotaractd9213.org/upper-kololo-8826241/","https://rotaractd9213.org/wp-content/uploads/2024/08/Upper-Kololo-1024x557.png","Upper Kololo","Club ID 8826241"
"https://rotaractd9213.org/victoria-nile-217228/","https://rotaractd9213.org/wp-content/uploads/2024/08/Victoria-Nile-1024x557.png","Victoria Nile","Club ID 217228"
"https://rotaractd9213.org/wakiso-central-8824264/","https://rotaractd9213.org/wp-content/uploads/2024/08/Wakiso-Central-1024x557.png","Wakiso Central","Club ID 8824264"
"https://rotaractd9213.org/ymca-wandegeya-buwambo/","https://rotaractd9213.org/wp-content/uploads/2024/09/YMCA-Wandegeya-Buwambo-1024x557.png","YMCA Wandegeya - Buwambo","Club ID 8825765"